"","r_id","collection"
"346",302455,"Outdoor Seating"
"347",301559,"Sunday Brunches"
"348",69661,"Pocket Friendly"
"349",70480,"Late Night Eats"
"350",70942,"Pocket Friendly"
"351",310099,"Regional Favorites"
"352",302203,"Great Coffee"
"353",301415,"Outdoor Seating"
"354",1056,"Butter Chicken"
"355",2741,"Business Dining"
"356",306313,"Butter Chicken"
"357",305856,"Student Faves"
"358",1395,"Student Faves"
"359",94795,"Best Shawarmas"
"360",65862,"What's Your Poison?"
"361",70659,"Kebab Places"
"362",65524,"Brilliant Biryanis"
"363",71545,"Kebab Places"
"364",70386,"Juices & Shakes"
"365",3379,"Upper Crust"
"366",3792,"Hot Night Clubs"
"367",302382,"What's Your Poison?"
"368",3400,"Pan-Asian Delicacies"
"369",303599,"Brilliant Biryanis"
"370",8689,"Butter Chicken"
"371",309316,"Upper Crust"
"372",95846,"Shisha Hangouts"
"373",97844,"Newly Opened"
"374",71964,"Kebab Places"
"375",71596,"Late Night Eats"
"376",65245,"Late Night Eats"
"377",304735,"Sweet Tooth"
"378",2689,"Legendary Restaurants"
"379",305659,"Kickass Burgers"
"380",310816,"Upper Crust"
"381",306253,"Sunday Brunches"
"382",69866,"Long Drives"
"383",70436,"What's Your Poison?"
"384",66958,"Legendary Restaurants"
"385",68703,"Kebab Places"
"386",65416,"Legendary Restaurants"
"387",71678,"Pocket Friendly"
"388",308577,"Late Night Delivery"
"389",311412,"Rooftops"
"390",9525,"Regional Favorites"
"391",309823,"Rooftops"
"392",800,"Legendary Restaurants"
"393",310160,"Brilliant Biryanis"
"394",3372,"Street Food"
"395",307801,"Meat Cravings"
"396",92617,"Pan-Asian Delicacies"
"397",97837,"Newly Opened"
"398",67274,"Brilliant Biryanis"
"399",71903,"Newly Opened"
"400",70880,"Brilliant Biryanis"
"401",71916,"Newly Opened"
"402",65698,"Pan-Asian Delicacies"
"403",301302,"Sweet Tooth"
"404",3575,"Pan-Asian Delicacies"
"405",307055,"Veggie Friendly"
"406",5709,"Hot Night Clubs"
"407",304635,"Healthy Breakfast"
"408",7999,"Sunday Brunches"
"409",71226,"Home Bakers"
"410",66527,"Jain Food"
"411",67201,"Street Food"
"412",71049,"Sweet Tooth"
"413",69145,"Upper Crust"
"414",65529,"Street Food"
"415",307767,"Veggie Friendly"
"416",310737,"Microbreweries"
"417",3545,"Sunday Brunches"
"418",5458,"Old Delhi Treats"
"419",2739,"Regional Favorites"
"420",8832,"Hidden Gems"
"421",3428,"Hidden Gems"
"422",996,"Pan-Asian Delicacies"
"423",4251,"Great Coffee"
"424",96055,"Best Shawarmas"
"425",92911,"Frozen Delights"
"426",67059,"Veggie Friendly"
"427",304448,"Regional Favorites"
"428",2148,"Sunday Brunches"
"429",66435,"Upper Crust"
"430",71096,"Brilliant Biryanis"
"431",66056,"Corporate Dining"
"432",68483,"Pocket Friendly"
"433",65001,"Juices & Shakes"
"434",70169,"Corporate Dining"
"435",70678,"Sunday Brunches"
"436",68299,"Juices & Shakes"
"437",304233,"Regional Favorites"
"438",301085,"What's Your Poison?"
"439",312781,"Newly Opened"
"440",600,"Student Faves"
"441",4902,"Great Breakfasts"
"442",308235,"Veggie Friendly"
"443",303716,"Sweet Tooth"
"444",301499,"Regional Favorites"
"445",3620,"European & Mediterranean"
"446",97609,"Newly Opened"
"447",71261,"Newly Opened"
"448",66648,"Sweet Tooth"
"449",67181,"Kebab Places"
"450",69422,"Street Food"
"451",70695,"Street Food"
"452",313200,"Newly Opened"
"453",301081,"Butter Chicken"
"454",307925,"Business Dining"
"455",310741,"Hidden Gems"
"456",3547,"Kebab Places"
"457",245,"Frozen Delights"
"458",307620,"Veggie Friendly"
"459",92644,"Pan-Asian Delicacies"
"460",91800,"Best Bakeries"
"461",97249,"Shisha Hangouts"
"462",68507,"Upper Crust"
"463",71002,"Veggie Friendly"
"464",71003,"Pocket Friendly"
"465",68949,"Juices & Shakes"
"466",66334,"Legendary Restaurants"
"467",69678,"Sweet Tooth"
"468",69342,"Juices & Shakes"
"469",70106,"Pocket Friendly"
"470",309134,"Hidden Gems"
"471",1849,"Great Breakfasts"
"472",2783,"Great Breakfasts"
"473",5046,"Sunday Brunches"
"474",308572,"Upper Crust"
"475",306517,"Pocket Friendly"
"476",1795,"Veggie Friendly"
"477",5626,"Hidden Gems"
"478",92737,"Street Food"
"479",92608,"Frozen Delights"
"480",65785,"Sweet Tooth"
"481",69247,"What's Your Poison?"
"482",66115,"Romantic"
"483",67169,"Sweet Tooth"
"484",69764,"Pan-Asian Delicacies"
"485",66404,"Pan-Asian Delicacies"
"486",6043,"Street Food"
"487",2747,"Great Breakfasts"
"488",309208,"Upper Crust"
"489",60,"Legendary Restaurants"
"490",305646,"Sweet Tooth"
"491",305739,"Hidden Gems"
"492",90272,"Best Bakeries"
"493",91767,"Best Bakeries"
"494",91509,"Pan-Asian Delicacies"
"495",93314,"Best Bakeries"
"496",91907,"Best Bakeries"
"497",97821,"Newly Opened"
"498",68368,"Kickass Burgers"
"499",67449,"Street Food"
"500",70057,"Sweet Tooth"
"501",71603,"Newly Opened"
"502",68756,"Sweet Tooth"
"503",305662,"Brilliant Biryanis"
"504",3310,"Pan-Asian Delicacies"
"505",125,"Butter Chicken"
"506",308609,"Frozen Delights"
"507",308811,"Student Faves"
"508",3724,"What's Your Poison?"
"509",3431,"Regional Favorites"
"510",3168,"What's Your Poison?"
"511",93876,"Pocket Friendly"
"512",94437,"Street Food"
"513",90268,"Street Food"
"514",90946,"Late Night Eats"
